Month,Hour,wind,pv
10,7,1.512498096,169.6447817
10,8,0.926619264,162.726854
10,9,0.557264592,143.7449328
10,10,0.378442368,114.8330894
10,11,0.224769024,78.75963274
10,12,0.242662896,38.30081804
10,13,0.77175,5.115919132
10,14,4.718592,0
10,15,9.997420464,0
10,16,15.23862965,0
10,17,12.43452787,0
10,18,6.016596912,0
10,19,2.415919104,0
10,20,1.333584,0
10,21,0.745591248,0
10,22,0.429981696,0
10,23,0.301989888,0
10,0,0.323725104,0
10,1,0.370274832,0.272702034
10,2,0.882502128,16.74218611
10,3,1.352726064,45.70816154
10,4,0.812124288,70.25660296
10,5,0.635175936,88.09287904
10,6,0.505700352,98.15924216
10,7,0.346478976,104.2403886
10,8,0.255104784,101.4964808
10,9,0.186484176,88.6402869
10,10,0.152813952,70.7436211
10,11,0.213342336,47.70020341
10,12,0.429981696,23.06921122
10,13,0.839808,3.297210486
10,14,2.415919104,0
10,15,4.331553264,0
10,16,6.718464,0
10,17,7.060017024,0
10,18,5.413734,0
10,19,3.298507776,0
10,20,1.775000304,0
10,21,0.926619264,0
10,22,0.567980928,0
10,23,0.378442368,0
10,0,0.28125,0
10,1,0.230632272,0.155270102
10,2,0.323725104,10.01345377
10,3,1.003373424,31.08652567
10,4,1.618477056,50.59887782
10,5,1.391557968,63.44546066
10,6,1.035224208,70.87129788
10,7,0.853882704,71.47799961
10,8,0.732736512,67.48022389
10,9,0.732736512,59.97068906
10,10,0.682795008,48.32558456
10,11,0.567980928,32.59252607
10,12,0.294967152,15.81889806
10,13,0.207777168,2.437736193
10,14,0.294967152,0
10,15,0.395136,0
10,16,0.457419312,0
10,17,0.495784944,0
10,18,0.466818048,0
10,19,0.429981696,0
10,20,0.354294,0
10,21,0.248832,0
10,22,0.144,0
10,23,0.131424912,0
10,0,0.207777168,0
10,1,0.338779728,0.222746496
10,2,1.134806256,17.19843942
10,3,0.956832768,52.88875828
10,4,0.578833776,82.31919046
10,5,0.486,97.27574753
10,6,0.316368,108.0646592
10,7,0.139723056,111.8228465
10,8,0.028096128,105.543486
10,9,0.000707472,90.93208707
10,10,0.002834352,72.08947666
10,11,0.082337328,42.34019675
10,12,0.248832,22.50238162
10,13,0.354294,3.442480395
10,14,0.567980928,0
10,15,0.758595456,0
10,16,0.785055744,0
10,17,0.635175936,0
10,18,0.316368,0
10,19,0.139723056,0
10,20,0.023958,0
10,21,0.002530944,0
10,22,0.008541936,0
10,23,0.028096128,0
10,0,0.045278208,0
10,1,0.088434,0.06372366
10,2,0.403663824,5.482305871
10,3,0.897048576,18.22544183
10,4,1.64025,31.42073203
10,5,2.040838272,45.58953826
10,6,1.451188224,61.37338264
10,7,0.623627568,75.60634849
10,8,0.139723056,76.56627604
10,9,0.014016384,75.27971442
10,10,0.06075,63.24042098
10,11,0.288054144,46.27289874
10,12,0.578833776,25.2400445
10,13,0.589824,3.963530766
10,14,0.941645232,0
10,15,1.314623376,0
10,16,1.596897648,0
10,17,1.451188224,0
10,18,0.839808,0
10,19,0.403663824,0
10,20,0.196938864,0
10,21,0.202309632,0
10,22,0.525926016,0
10,23,1.314623376,0
10,0,1.662217344,0
10,1,1.277242992,0.097511329
10,2,1.618477056,9.52510924
10,3,2.117682,33.0424773
10,4,1.575510912,60.86757037
10,5,0.346478976,89.60387251
10,6,0.00225,112.9603758
10,7,0.028096128,122.94392
10,8,0.161980416,123.3434343
10,9,0.370274832,109.9508331
10,10,0.682795008,82.0994361
10,11,1.352726064,46.2058382
10,12,1.990656,20.98694707
10,13,1.729294416,3.229049957
10,14,2.740919472,0
10,15,3.475809936,0
10,16,3.161088,0
10,17,2.117682,0
10,18,1.258821504,0
10,19,0.785055744,0
10,20,0.515747088,0
10,21,0.354294,0
10,22,0.236596608,0
10,23,0.176406192,0
10,0,0.135531648,0
10,1,0.152813952,0.092743568
10,2,0.301989888,8.373367236
10,3,0.354294,29.44187988
10,4,0.009216,57.133396
10,5,0.079396992,87.35746898
10,6,0.370274832,115.0636389
10,7,0.839808,131.7613447
10,8,1.431126,131.6567758
10,9,2.143718784,115.3604846
10,10,3.161088,86.7760722
10,11,4.415658768,54.12886403
10,12,4.166559792,23.52882455
10,13,1.892772864,3.300436293
10,14,2.415919104,0
10,15,2.771831808,0
10,16,2.589800832,0
10,17,2.25,0
10,18,2.040838272,0
10,19,1.775000304,0
10,20,1.391557968,0
10,21,1.084253184,0
10,22,0.77175,0
10,23,0.525926016,0
10,0,0.309123216,0
10,1,0.135531648,0.126961874
